Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2021-08-22T13:11:24Z,420.7528065,38.4170073,-78.8542234,,156.0,1893.537341338522
2021-08-22T13:11:26Z,421.0854492,38.4169305,-78.8542381,,158.0,1921.8778068449396
2021-08-22T13:11:29Z,421.5354771,38.4168459,-78.8542577,,161.0,1953.254778421394
2021-08-22T13:11:30Z,421.8354312,38.416801,-78.8542695,,162.0,1969.986739636876
2021-08-22T13:11:32Z,422.1897261,38.4167325,-78.8542943,,164.0,1995.9702478836714
2021-08-22T13:11:34Z,422.4962934,38.4166716,-78.8543127,,166.0,2018.8103505768868
2021-08-22T13:11:36Z,422.727788,38.4166134,-78.8543344,,168.0,2040.938075306507
2021-08-22T13:11:38Z,422.9130828,38.4165576,-78.8543566,,170.0,2062.26608666341
2021-08-22T13:11:40Z,423.2523128,38.4165015,-78.854373,,172.0,2083.2661492759817
2021-08-22T13:11:42Z,423.4361863,38.4164484,-78.8543904,,174.0,2103.269521431466
2021-08-22T13:11:45Z,423.6356954,38.4163769,-78.8544167,,177.0,2130.425801837692
2021-08-22T13:11:46Z,423.9725645,38.4163512,-78.8544252,,178.0,2140.1144337858686
2021-08-22T13:11:49Z,424.0551275,38.4162787,-78.8544602,,181.0,2168.400042303023
2021-08-22T13:11:50Z,424.3908444,38.4162329,-78.8544827,,182.0,2186.3089558730744
2021-08-22T13:11:53Z,424.7301761,38.4161744,-78.854522,,185.0,2210.4346619926414
2021-08-22T13:11:54Z,424.9551491,38.4161378,-78.8545462,,186.0,2225.473946724523
2021-08-22T13:11:56Z,425.137145,38.41612,-78.8545951,,188.0,2240.8893513253074
2021-08-22T13:11:58Z,425.2707556,38.4161142,-78.8546252,,190.0,2249.7511827020357
2021-08-22T13:12:00Z,425.0715858,38.4161254,-78.8545941,,192.0,2259.5394945578378
2021-08-22T13:12:02Z,425.0318371,38.4161302,-78.8545924,,194.0,2261.356217412496
2021-08-22T13:12:04Z,425.3486119,38.4161344,-78.8545934,,196.0,2262.9448954626237
2021-08-22T13:12:06Z,425.2033052,38.4161383,-78.8545956,,198.0,2264.5335735127514
2021-08-22T13:13:33Z,425.4079189,38.4160723,-78.8546285,,285.0,2290.3916246757444
2021-08-22T13:13:35Z,425.6194974,38.4160132,-78.8546439,,287.0,2312.404993473271
2021-08-22T13:13:37Z,425.9782155,38.4159391,-78.8546739,,289.0,2340.7728476939874
2021-08-22T13:13:38Z,426.514779,38.4159022,-78.8546954,,290.0,2355.5713842229
2021-08-22T13:13:41Z,426.8732102,38.4158198,-78.8547651,,293.0,2391.645760318003
2021-08-22T13:13:43Z,427.3458369,38.41577,-78.8548194,,295.0,2415.5450808103556
2021-08-22T13:13:45Z,427.8006201,38.415717,-78.8548616,,297.0,2438.3405136441374
2021-08-22T13:13:47Z,428.2555294,38.4156833,-78.8549016,,299.0,2455.1361717756763
2021-08-22T13:13:49Z,428.5953063,38.4156241,-78.8549633,,301.0,2483.02780144572
2021-08-22T13:13:51Z,429.0380033,38.4155801,-78.8550106,,303.0,2504.020929148329
2021-08-22T13:13:53Z,429.5032002,38.4155411,-78.8550676,,305.0,2525.658467574885
2021-08-22T13:13:55Z,430.1260053,38.415491,-78.8551279,,307.0,2550.7892639157744
2021-08-22T13:13:57Z,430.6255774,38.4154511,-78.8551719,,309.0,2570.03583660327
2021-08-22T13:13:59Z,430.9150906,38.4154257,-78.8552081,,311.0,2583.9345871205014
2021-08-22T13:14:01Z,431.4696765,38.4153758,-78.8552644,,313.0,2608.2366882557567
2021-08-22T13:14:03Z,431.9241113,38.4153278,-78.8553119,,315.0,2630.399480716934
2021-08-22T13:14:05Z,432.4869721,38.4152822,-78.855358,,317.0,2651.6294107575136
2021-08-22T13:14:07Z,433.0509244,38.4152365,-78.8554039,,319.0,2672.852481000389
2021-08-22T13:14:09Z,433.595441,38.4151855,-78.8554458,,321.0,2694.9845922351033
2021-08-22T13:14:11Z,434.055274,38.4151386,-78.855489,,323.0,2716.0907048008526
2021-08-22T13:14:13Z,434.4299344,38.4150948,-78.8555325,,325.0,2736.344852262018
2021-08-22T13:14:15Z,435.1279436,38.4150504,-78.8555678,,327.0,2755.4318887355926
2021-08-22T13:14:17Z,435.5227497,38.4150029,-78.8556028,,329.0,2775.4449642009636
2021-08-22T13:14:19Z,436.0966833,38.4149579,-78.8556432,,331.0,2795.520996865053
2021-08-22T13:14:21Z,436.6031592,38.4149136,-78.8556695,,333.0,2813.348419430325
2021-08-22T13:14:23Z,437.1670715,38.41486,-78.8557031,,335.0,2835.1401863623555
2021-08-22T13:14:25Z,437.678887,38.4148082,-78.8557327,,337.0,2855.8516705676193
2021-08-22T13:14:27Z,438.1179605,38.4147507,-78.8557658,,339.0,2878.8695858265055
2021-08-22T13:14:29Z,438.6183268,38.4147005,-78.8557943,,341.0,2898.9190068792946
2021-08-22T13:14:31Z,439.1608556,38.4146505,-78.8558277,,343.0,2919.5129848361366
2021-08-22T13:14:33Z,439.5500844,38.4145982,-78.8558593,,345.0,2940.6305924806566
2021-08-22T13:14:35Z,439.9607701,38.4145467,-78.8558874,,347.0,2961.0708024409164
2021-08-22T13:14:37Z,440.4656313,38.4144957,-78.8559191,,349.0,2981.770566038482
2021-08-22T13:14:39Z,440.7932841,38.414446,-78.8559482,,351.0,3001.725350868983
2021-08-22T13:14:41Z,441.0329927,38.4143962,-78.8559822,,353.0,3022.3405293806654
2021-08-22T13:14:43Z,441.5168325,38.4143439,-78.856012,,355.0,3043.245615766891
2021-08-22T13:14:45Z,441.8671328,38.4142933,-78.8560384,,357.0,3063.1955353565954
2021-08-22T13:14:47Z,442.0526657,38.4142504,-78.8560662,,359.0,3080.7541184862416
2021-08-22T13:14:49Z,442.3981002,38.4141986,-78.8561002,,361.0,3102.0114655809152
2021-08-22T13:14:51Z,442.6677882,38.4141551,-78.8561302,,363.0,3120.052689546035
2021-08-22T13:14:53Z,442.9228834,38.4141122,-78.8561576,,365.0,3137.555900153278
2021-08-22T13:14:56Z,443.1714016,38.4140489,-78.8562061,,368.0,3164.4986520309967
2021-08-22T13:14:57Z,443.3514895,38.4140191,-78.8562264,,369.0,3176.8281416719037
2021-08-22T13:14:59Z,443.560304,38.413969,-78.8562572,,371.0,3197.1205948835286
2021-08-22T13:15:01Z,443.884551,38.4139156,-78.8562845,,373.0,3218.11141044034
2021-08-22T13:15:03Z,443.9639816,38.4138593,-78.8563188,,375.0,3240.879146583971
2021-08-22T13:15:05Z,444.1236943,38.4138003,-78.8563438,,377.0,3263.5657292967444
2021-08-22T13:15:07Z,444.2148081,38.4137453,-78.8563637,,379.0,3284.426655686872
2021-08-22T13:15:09Z,444.3099581,38.4136879,-78.8563904,,381.0,3306.7204608702586
2021-08-22T13:15:11Z,444.1603839,38.4136218,-78.8564196,,383.0,3332.246015953489
2021-08-22T13:15:13Z,444.1148803,38.4135554,-78.8564392,,385.0,3357.116664175854
2021-08-22T13:15:15Z,444.0701733,38.4135026,-78.8564609,,387.0,3377.358826224134
2021-08-22T13:15:17Z,444.1644724,38.4134068,-78.8564772,,389.0,3412.6276991272853
2021-08-22T13:15:19Z,443.9718928,38.4133273,-78.8564972,,391.0,3442.1985220042875
2021-08-22T13:15:21Z,443.8354912,38.4132229,-78.856511,,393.0,3480.4995291081564
2021-08-22T13:15:23Z,443.52338,38.4131235,-78.8565215,,395.0,3516.8967158560254
2021-08-22T13:15:25Z,443.0833232,38.4130177,-78.8565286,,397.0,3555.558454339792
2021-08-22T13:15:27Z,442.5627789,38.4129069,-78.8565314,,399.0,3595.9995951450305
2021-08-22T13:15:29Z,442.0409338,38.4127865,-78.8565337,,401.0,3639.942468007638
2021-08-22T13:15:31Z,441.2665494,38.4126542,-78.8565308,,403.0,3688.2300793691265
2021-08-22T13:15:33Z,440.4792722,38.4125103,-78.8565301,,405.0,3740.7452569089824
2021-08-22T13:15:35Z,439.3615714,38.4123553,-78.8565247,,407.0,3797.3301998241404
2021-08-22T13:15:37Z,438.204776,38.4121908,-78.8565213,,409.0,3857.3686178016983
2021-08-22T13:15:39Z,437.025613,38.4120164,-78.8565243,,411.0,3921.0164799092836
2021-08-22T13:15:41Z,435.6457252,38.4118264,-78.8565181,,413.0,3990.376004366288
2021-08-22T13:15:43Z,434.0735213,38.411632,-78.8565099,,415.0,4061.355498546821
2021-08-22T13:15:45Z,432.8236531,38.4114194,-78.8565055,,417.0,4138.949671172557
2021-08-22T13:15:47Z,431.4410927,38.4112099,-78.8564966,,419.0,4215.44389429453
2021-08-22T13:15:49Z,430.2654072,38.4109951,-78.8564892,,421.0,4293.85878388689
2021-08-22T13:15:51Z,429.0600591,38.4107754,-78.8564724,,423.0,4374.176210429552
2021-08-22T13:15:53Z,427.7443211,38.4105508,-78.8564262,,425.0,4457.196551317546
2021-08-22T13:15:55Z,426.5472715,38.4103244,-78.8563584,,427.0,4542.060240364487
2021-08-22T13:15:57Z,424.8589056,38.4100998,-78.8562657,,429.0,4628.202298095088
2021-08-22T13:15:59Z,423.3420236,38.4098805,-78.8561623,,431.0,4713.518325932993
2021-08-22T13:16:01Z,422.0556256,38.4096744,-78.8560316,,433.0,4797.503551882399
2021-08-22T13:16:03Z,420.5135689,38.4094951,-78.8558917,,435.0,4874.195487223722
2021-08-22T13:16:05Z,420.204041,38.4093372,-78.8557659,,437.0,4942.125318896018
2021-08-22T13:16:07Z,419.5805636,38.4091957,-78.8556829,,439.0,4998.955906743816
2021-08-22T13:16:09Z,418.5444667,38.4090773,-78.8557395,,441.0,5045.094944935588
2021-08-22T13:16:11Z,417.8691777,38.4090193,-78.8559185,,443.0,5100.483527039906
2021-08-22T13:16:13Z,417.2994448,38.4089525,-78.8560815,,445.0,5153.083665707546
2021-08-22T13:16:15Z,416.8219827,38.408876,-78.8562397,,447.0,5206.241872699643
2021-08-22T13:16:17Z,416.3391414,38.4087973,-78.8564053,,449.0,5261.624320429417
2021-08-22T13:16:19Z,416.4178835,38.4087149,-78.856568,,451.0,5317.021664747593
2021-08-22T13:16:21Z,416.1548119,38.4086268,-78.856718,,453.0,5370.6254028599205
2021-08-22T13:16:23Z,415.9053025,38.4085318,-78.8568715,,455.0,5426.558117600526
2021-08-22T13:16:25Z,416.1204987,38.4084298,-78.8570193,,457.0,5482.876526094944
2021-08-22T13:16:27Z,416.3189131,38.4083288,-78.8571525,,459.0,5535.880201759555
2021-08-22T13:16:29Z,416.4240262,38.4082272,-78.8572807,,461.0,5588.02065036586
2021-08-22T13:16:31Z,416.6769902,38.4081307,-78.8573961,,463.0,5636.282120640306
2021-08-22T13:16:33Z,417.145231,38.4080285,-78.8575068,,465.0,5685.200864958909
2021-08-22T13:16:35Z,417.4066862,38.4079362,-78.8576099,,467.0,5729.963391148695
2021-08-22T13:16:37Z,417.710887,38.4078394,-78.8577185,,469.0,5776.998416645737
2021-08-22T13:16:39Z,417.6611042,38.4077458,-78.8578212,,471.0,5822.0452139720155
2021-08-22T13:16:41Z,417.8242762,38.4076519,-78.8579199,,473.0,5866.438636959919
2021-08-22T13:16:43Z,417.9167997,38.4075583,-78.8580199,,475.0,5910.984862661961
2021-08-22T13:16:45Z,418.0352754,38.4074579,-78.8581182,,477.0,5957.163858094779
2021-08-22T13:16:47Z,418.1636037,38.4073617,-78.8582262,,479.0,6003.921510517181
2021-08-22T13:16:49Z,418.0418428,38.4072558,-78.8583332,,481.0,6053.21387441807
2021-08-22T13:16:51Z,417.6719081,38.4071497,-78.858436,,483.0,6101.828061733432
2021-08-22T13:16:53Z,417.4730969,38.4070635,-78.8585467,,485.0,6146.454843223321
2021-08-22T13:16:55Z,417.132786,38.4069664,-78.8586623,,487.0,6194.9140311410865
2021-08-22T13:16:57Z,416.6853042,38.4068565,-78.8587776,,489.0,6246.8324576133155
2021-08-22T13:16:59Z,415.9498875,38.4067395,-78.8588988,,491.0,6301.825295132804
2021-08-22T13:17:01Z,414.9961837,38.4066271,-78.859019,,493.0,6355.340223758515
2021-08-22T13:17:03Z,414.090822,38.4065044,-78.8591483,,495.0,6413.410197093567
2021-08-22T13:17:05Z,413.1684026,38.4063791,-78.8592957,,497.0,6475.600086824308
2021-08-22T13:17:07Z,411.8315597,38.4062441,-78.8594485,,499.0,6541.451038919709
2021-08-22T13:17:09Z,411.0661091,38.4061073,-78.8596012,,501.0,6607.77569478429
2021-08-22T13:17:11Z,410.0034011,38.4059656,-78.8597556,,503.0,6675.772657163758
2021-08-22T13:17:13Z,409.2127389,38.4058213,-78.859904,,505.0,6743.403164465412
2021-08-22T13:17:15Z,408.6222029,38.4056775,-78.860058,,507.0,6811.910721022117
2021-08-22T13:17:17Z,408.0257747,38.4055348,-78.860211,,509.0,6879.926953377193
2021-08-22T13:17:19Z,407.6397973,38.4054004,-78.8603615,,511.0,6945.1781507878395
2021-08-22T13:17:21Z,406.9171405,38.4052662,-78.8605045,,513.0,7008.979107077351
2021-08-22T13:17:23Z,406.2445792,38.4051222,-78.8606579,,515.0,7077.432797682935
2021-08-22T13:17:25Z,405.8129633,38.4049949,-78.8608227,,517.0,7143.607997599303
2021-08-22T13:17:27Z,405.4339454,38.4048759,-78.8609936,,519.0,7208.986268042734
2021-08-22T13:17:29Z,404.8782187,38.4047721,-78.8611791,,521.0,7274.171230010236
2021-08-22T13:17:31Z,404.6595543,38.4046906,-78.8613759,,523.0,7337.826717447266
2021-08-22T13:17:33Z,404.7831144,38.4046171,-78.8615578,,525.0,7396.352932137913
2021-08-22T13:17:35Z,405.2998509,38.4045531,-78.8617177,,527.0,7447.6988721097805
2021-08-22T13:17:37Z,405.7126663,38.4045006,-78.8618488,,529.0,7489.802875348719
2021-08-22T13:17:39Z,406.0568328,38.4044646,-78.8619515,,531.0,7521.977188865012
2021-08-22T13:17:41Z,406.3646139,38.4044328,-78.8620259,,533.0,7546.211289583989
2021-08-22T13:17:43Z,406.475392,38.4044163,-78.8620741,,535.0,7561.250574315871
2021-08-22T13:17:45Z,406.7492386,38.4044043,-78.8621037,,537.0,7570.777549339063
2021-08-22T13:17:47Z,406.8139584,38.4044059,-78.8621019,,539.0,7571.400680137403
2021-08-22T13:17:50Z,406.6250553,38.4043948,-78.8621351,,542.0,7581.72473708029
2021-08-22T13:17:51Z,406.8205185,38.4043947,-78.8621718,,543.0,7592.225923950471
2021-08-22T13:17:54Z,407.0068504,38.4043702,-78.8622849,,546.0,7625.782544405089
2021-08-22T13:17:56Z,406.6489149,38.404337,-78.8623774,,548.0,7654.876814325652
2021-08-22T13:17:58Z,406.2921909,38.404281,-78.8625117,,550.0,7698.381207681095
2021-08-22T13:18:00Z,405.828886,38.4042201,-78.8626309,,552.0,7739.073604995589
2021-08-22T13:18:02Z,405.1051106,38.4041814,-78.8627732,,554.0,7782.148577810513
2021-08-22T13:18:04Z,404.5512288,38.404126,-78.8629189,,556.0,7828.461912422946
2021-08-22T13:18:06Z,403.7902321,38.4040632,-78.8630896,,558.0,7882.388834019535
2021-08-22T13:18:08Z,403.0596476,38.4039925,-78.8632772,,560.0,7941.919842826063
2021-08-22T13:18:10Z,402.4234033,38.4039254,-78.8634622,,562.0,8000.217550598983
2021-08-22T13:18:12Z,401.7950771,38.4038763,-78.8636613,,564.0,8059.908147154245
2021-08-22T13:18:14Z,400.918911,38.4038303,-78.8638684,,566.0,8121.466563486732
2021-08-22T13:18:16Z,400.3361457,38.4038007,-78.8640758,,568.0,8181.753461869545
2021-08-22T13:18:18Z,399.8931456,38.4037847,-78.8642967,,570.0,8245.195093637785
2021-08-22T13:18:20Z,399.347709,38.4037819,-78.864521,,572.0,8309.348066246306
2021-08-22T13:18:22Z,399.0436791,38.4037938,-78.8647438,,574.0,8373.212133469486
2021-08-22T13:18:24Z,398.9257913,38.4038139,-78.8649602,,576.0,8435.529886609238
2021-08-22T13:18:26Z,398.6504782,38.403848,-78.8651639,,578.0,8495.097573272655
2021-08-22T13:18:28Z,398.3989602,38.4038903,-78.865367,,580.0,8555.194977227393
2021-08-22T13:18:30Z,398.6725749,38.4039384,-78.8655661,,582.0,8614.776514094081
2021-08-22T13:18:32Z,399.0728077,38.4039913,-78.8657591,,584.0,8673.248798649658
2021-08-22T13:18:34Z,399.4605793,38.4040361,-78.865934,,586.0,8725.87015616548
2021-08-22T13:18:36Z,399.7786317,38.4040819,-78.8661046,,588.0,8777.441524172418
2021-08-22T13:18:38Z,400.1203797,38.404127,-78.8662661,,590.0,8826.47126740528
2021-08-22T13:18:40Z,400.3811394,38.4041706,-78.866423,,592.0,8874.078623521422
2021-08-22T13:18:42Z,400.5206686,38.4042164,-78.8665773,,594.0,8921.264069171639
2021-08-22T13:18:44Z,400.743158,38.4042719,-78.8667338,,596.0,8970.388754710424
2021-08-22T13:18:46Z,400.959783,38.4043184,-78.8668785,,598.0,9015.113313914097
2021-08-22T13:18:48Z,401.2142716,38.4043649,-78.8670311,,600.0,9061.93631743721
2021-08-22T13:18:50Z,401.3625897,38.4044043,-78.8671658,,602.0,9103.052327208008
2021-08-22T13:18:52Z,401.4036749,38.4044393,-78.8672985,,604.0,9143.091814733556
2021-08-22T13:18:54Z,401.2018458,38.4044769,-78.8674403,,606.0,9185.902306455608
2021-08-22T13:18:56Z,401.3198654,38.4045343,-78.8675513,,608.0,9223.933710184672
2021-08-22T13:18:58Z,401.3397085,38.404589,-78.8676826,,610.0,9266.458677897721
2021-08-22T13:19:00Z,401.3420207,38.4046323,-78.8678213,,612.0,9309.153370257449
2021-08-22T13:19:02Z,400.9849513,38.404673,-78.8679554,,614.0,9350.277642536215
2021-08-22T13:19:04Z,400.8907818,38.4047177,-78.8681044,,616.0,9395.902563010153
2021-08-22T13:19:06Z,400.7789534,38.4047645,-78.8682559,,618.0,9442.47299268845
2021-08-22T13:19:08Z,400.5113631,38.4048117,-78.868407,,620.0,9488.990238926004
2021-08-22T13:19:10Z,400.4690654,38.4048619,-78.8685674,,622.0,9538.382936612299
2021-08-22T13:19:12Z,400.2571033,38.4049053,-78.8687236,,624.0,9585.777758827318
2021-08-22T13:19:14Z,400.2364307,38.404948,-78.8688802,,626.0,9633.19305839141
2021-08-22T13:19:16Z,400.2889317,38.4050007,-78.8690222,,628.0,9678.123338443678
2021-08-22T13:19:18Z,400.4914831,38.4050502,-78.869174,,630.0,9725.141850282527
2021-08-22T13:19:20Z,400.7827074,38.4050976,-78.8693171,,632.0,9769.57024593798
2021-08-22T13:19:22Z,400.9202857,38.4051366,-78.8694611,,634.0,9813.140414036174
2021-08-22T13:19:24Z,401.1662075,38.4051868,-78.8695976,,636.0,9856.260434942069
2021-08-22T13:19:26Z,401.2978159,38.4052223,-78.8697213,,638.0,9893.932801872941
2021-08-22T13:19:28Z,401.4663342,38.4052659,-78.8698232,,640.0,9927.134623582495
2021-08-22T13:19:30Z,401.8088256,38.405302,-78.8699379,,642.0,9962.481851999195
2021-08-22T13:19:32Z,402.2505859,38.4053426,-78.8700521,,644.0,9998.343015909102
2021-08-22T13:19:34Z,402.6220304,38.4053794,-78.8701591,,646.0,10031.75904044125
2021-08-22T13:19:36Z,402.9173869,38.4054062,-78.8702427,,648.0,10057.590799730475
2021-08-22T13:19:38Z,403.2678594,38.4054369,-78.8703317,,650.0,10085.398775236592
2021-08-22T13:19:40Z,403.8377951,38.4054746,-78.8704231,,652.0,10114.936752582102
2021-08-22T13:19:42Z,404.2330944,38.4055041,-78.8704813,,654.0,10134.759756787866
2021-08-22T13:19:44Z,404.34352,38.4055392,-78.8705423,,656.0,10156.40178107296
2021-08-22T13:19:46Z,404.8614709,38.4055865,-78.870657,,658.0,10193.467589308138
2021-08-22T13:19:48Z,405.0922084,38.4056219,-78.8707255,,660.0,10216.932414993165
2021-08-22T13:19:50Z,405.4074437,38.4056535,-78.8707995,,662.0,10241.033967221023
2021-08-22T13:19:52Z,405.7811178,38.4056984,-78.8708783,,664.0,10268.894256015068
2021-08-22T13:19:55Z,406.1251856,38.405747,-78.8709558,,667.0,10297.282634430598
2021-08-22T13:19:56Z,406.489517,38.4057736,-78.8710043,,668.0,10314.213569519236
2021-08-22T13:19:58Z,406.8236047,38.4058203,-78.8710745,,670.0,10340.547758275028
2021-08-22T13:20:00Z,407.1119921,38.4058509,-78.871127,,672.0,10359.25984804719
2021-08-22T13:20:02Z,407.5356732,38.4058972,-78.8711984,,674.0,10385.764890703937
2021-08-22T13:20:05Z,407.8682603,38.4059483,-78.8712823,,677.0,10416.153300165322
2021-08-22T13:20:06Z,407.9732344,38.4059862,-78.8713403,,678.0,10437.748176460394
2021-08-22T13:20:08Z,408.1349303,38.4060221,-78.8714033,,680.0,10460.024557799632
2021-08-22T13:20:10Z,408.1942971,38.4060749,-78.8714806,,682.0,10489.348142436047
2021-08-22T13:20:12Z,408.4622984,38.4061102,-78.871551,,684.0,10513.2474629284
2021-08-22T13:20:15Z,408.611091,38.406178,-78.8716436,,687.0,10549.485612941915
2021-08-22T13:20:16Z,408.7181892,38.4062094,-78.871695,,688.0,10568.11972450385
2021-08-22T13:20:18Z,408.7791467,38.4062607,-78.8717768,,690.0,10598.081885392767
2021-08-22T13:20:20Z,408.7538006,38.4063084,-78.871854,,692.0,10626.195375915819
2021-08-22T13:20:22Z,408.806292,38.4063645,-78.8719394,,694.0,10658.060459607233
2021-08-22T13:20:24Z,408.7324761,38.4064123,-78.8720138,,696.0,10685.570114132428
2021-08-22T13:20:27Z,408.7652302,38.4064757,-78.8721225,,699.0,10724.31963196742
2021-08-22T13:20:28Z,408.5223549,38.4065321,-78.8722171,,700.0,10758.310260407023
2021-08-22T13:20:30Z,408.4332491,38.4065938,-78.8723166,,702.0,10794.59525828949
