Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,heartratebpm/value
2021-08-22T13:12:06Z,38.4161383,-78.8545956,425.2033052,
2021-08-22T13:13:33Z,38.4160723,-78.8546285,425.4079189,
2021-08-22T13:13:35Z,38.4160132,-78.8546439,425.6194974,
2021-08-22T13:13:37Z,38.4159391,-78.8546739,425.9782155,
2021-08-22T13:13:38Z,38.4159022,-78.8546954,426.514779,
2021-08-22T13:13:41Z,38.4158198,-78.8547651,426.8732102,
2021-08-22T13:13:43Z,38.41577,-78.8548194,427.3458369,
2021-08-22T13:13:45Z,38.415717,-78.8548616,427.8006201,
2021-08-22T13:13:47Z,38.4156833,-78.8549016,428.2555294,
2021-08-22T13:13:49Z,38.4156241,-78.8549633,428.5953063,
2021-08-22T13:13:51Z,38.4155801,-78.8550106,429.0380033,
2021-08-22T13:13:53Z,38.4155411,-78.8550676,429.5032002,
2021-08-22T13:13:55Z,38.415491,-78.8551279,430.1260053,
2021-08-22T13:13:57Z,38.4154511,-78.8551719,430.6255774,
2021-08-22T13:13:59Z,38.4154257,-78.8552081,430.9150906,
2021-08-22T13:14:01Z,38.4153758,-78.8552644,431.4696765,
2021-08-22T13:14:03Z,38.4153278,-78.8553119,431.9241113,
2021-08-22T13:14:05Z,38.4152822,-78.855358,432.4869721,
2021-08-22T13:14:07Z,38.4152365,-78.8554039,433.0509244,
2021-08-22T13:14:09Z,38.4151855,-78.8554458,433.595441,
2021-08-22T13:14:11Z,38.4151386,-78.855489,434.055274,
2021-08-22T13:14:13Z,38.4150948,-78.8555325,434.4299344,
2021-08-22T13:14:15Z,38.4150504,-78.8555678,435.1279436,
2021-08-22T13:14:17Z,38.4150029,-78.8556028,435.5227497,
2021-08-22T13:14:19Z,38.4149579,-78.8556432,436.0966833,
2021-08-22T13:14:21Z,38.4149136,-78.8556695,436.6031592,
2021-08-22T13:14:23Z,38.41486,-78.8557031,437.1670715,
2021-08-22T13:14:25Z,38.4148082,-78.8557327,437.678887,
2021-08-22T13:14:27Z,38.4147507,-78.8557658,438.1179605,
2021-08-22T13:14:29Z,38.4147005,-78.8557943,438.6183268,
2021-08-22T13:14:31Z,38.4146505,-78.8558277,439.1608556,
2021-08-22T13:14:33Z,38.4145982,-78.8558593,439.5500844,
2021-08-22T13:14:35Z,38.4145467,-78.8558874,439.9607701,
2021-08-22T13:14:37Z,38.4144957,-78.8559191,440.4656313,
2021-08-22T13:14:39Z,38.414446,-78.8559482,440.7932841,
2021-08-22T13:14:41Z,38.4143962,-78.8559822,441.0329927,
2021-08-22T13:14:43Z,38.4143439,-78.856012,441.5168325,
2021-08-22T13:14:45Z,38.4142933,-78.8560384,441.8671328,
2021-08-22T13:14:47Z,38.4142504,-78.8560662,442.0526657,
2021-08-22T13:14:49Z,38.4141986,-78.8561002,442.3981002,
2021-08-22T13:14:51Z,38.4141551,-78.8561302,442.6677882,
2021-08-22T13:14:53Z,38.4141122,-78.8561576,442.9228834,
2021-08-22T13:14:56Z,38.4140489,-78.8562061,443.1714016,
2021-08-22T13:14:57Z,38.4140191,-78.8562264,443.3514895,
2021-08-22T13:14:59Z,38.413969,-78.8562572,443.560304,
2021-08-22T13:15:01Z,38.4139156,-78.8562845,443.884551,
2021-08-22T13:15:03Z,38.4138593,-78.8563188,443.9639816,
2021-08-22T13:15:05Z,38.4138003,-78.8563438,444.1236943,
2021-08-22T13:15:07Z,38.4137453,-78.8563637,444.2148081,
2021-08-22T13:15:09Z,38.4136879,-78.8563904,444.3099581,
2021-08-22T13:15:11Z,38.4136218,-78.8564196,444.1603839,
2021-08-22T13:15:13Z,38.4135554,-78.8564392,444.1148803,
2021-08-22T13:15:15Z,38.4135026,-78.8564609,444.0701733,
2021-08-22T13:15:17Z,38.4134068,-78.8564772,444.1644724,
2021-08-22T13:15:19Z,38.4133273,-78.8564972,443.9718928,
2021-08-22T13:15:21Z,38.4132229,-78.856511,443.8354912,
2021-08-22T13:15:23Z,38.4131235,-78.8565215,443.52338,
2021-08-22T13:15:25Z,38.4130177,-78.8565286,443.0833232,
2021-08-22T13:15:27Z,38.4129069,-78.8565314,442.5627789,
2021-08-22T13:15:29Z,38.4127865,-78.8565337,442.0409338,
2021-08-22T13:15:31Z,38.4126542,-78.8565308,441.2665494,
2021-08-22T13:15:33Z,38.4125103,-78.8565301,440.4792722,
2021-08-22T13:15:35Z,38.4123553,-78.8565247,439.3615714,
2021-08-22T13:15:37Z,38.4121908,-78.8565213,438.204776,
2021-08-22T13:15:39Z,38.4120164,-78.8565243,437.025613,
2021-08-22T13:15:41Z,38.4118264,-78.8565181,435.6457252,
2021-08-22T13:15:43Z,38.411632,-78.8565099,434.0735213,
2021-08-22T13:15:45Z,38.4114194,-78.8565055,432.8236531,
2021-08-22T13:15:47Z,38.4112099,-78.8564966,431.4410927,
2021-08-22T13:15:49Z,38.4109951,-78.8564892,430.2654072,
2021-08-22T13:15:51Z,38.4107754,-78.8564724,429.0600591,
2021-08-22T13:15:53Z,38.4105508,-78.8564262,427.7443211,
2021-08-22T13:15:55Z,38.4103244,-78.8563584,426.5472715,
2021-08-22T13:15:57Z,38.4100998,-78.8562657,424.8589056,
2021-08-22T13:15:59Z,38.4098805,-78.8561623,423.3420236,
2021-08-22T13:16:01Z,38.4096744,-78.8560316,422.0556256,
2021-08-22T13:16:03Z,38.4094951,-78.8558917,420.5135689,
2021-08-22T13:16:05Z,38.4093372,-78.8557659,420.204041,
2021-08-22T13:16:07Z,38.4091957,-78.8556829,419.5805636,
2021-08-22T13:16:09Z,38.4090773,-78.8557395,418.5444667,
2021-08-22T13:16:11Z,38.4090193,-78.8559185,417.8691777,
2021-08-22T13:16:13Z,38.4089525,-78.8560815,417.2994448,
2021-08-22T13:16:15Z,38.408876,-78.8562397,416.8219827,
2021-08-22T13:16:17Z,38.4087973,-78.8564053,416.3391414,
2021-08-22T13:16:19Z,38.4087149,-78.856568,416.4178835,
2021-08-22T13:16:21Z,38.4086268,-78.856718,416.1548119,
2021-08-22T13:16:23Z,38.4085318,-78.8568715,415.9053025,
2021-08-22T13:16:25Z,38.4084298,-78.8570193,416.1204987,
2021-08-22T13:16:27Z,38.4083288,-78.8571525,416.3189131,
2021-08-22T13:16:29Z,38.4082272,-78.8572807,416.4240262,
2021-08-22T13:16:31Z,38.4081307,-78.8573961,416.6769902,
2021-08-22T13:16:33Z,38.4080285,-78.8575068,417.145231,
2021-08-22T13:16:35Z,38.4079362,-78.8576099,417.4066862,
2021-08-22T13:16:37Z,38.4078394,-78.8577185,417.710887,
2021-08-22T13:16:39Z,38.4077458,-78.8578212,417.6611042,
2021-08-22T13:16:41Z,38.4076519,-78.8579199,417.8242762,
2021-08-22T13:16:43Z,38.4075583,-78.8580199,417.9167997,
2021-08-22T13:16:45Z,38.4074579,-78.8581182,418.0352754,
2021-08-22T13:16:47Z,38.4073617,-78.8582262,418.1636037,
2021-08-22T13:16:49Z,38.4072558,-78.8583332,418.0418428,
2021-08-22T13:16:51Z,38.4071497,-78.858436,417.6719081,
2021-08-22T13:16:53Z,38.4070635,-78.8585467,417.4730969,
2021-08-22T13:16:55Z,38.4069664,-78.8586623,417.132786,
2021-08-22T13:16:57Z,38.4068565,-78.8587776,416.6853042,
2021-08-22T13:16:59Z,38.4067395,-78.8588988,415.9498875,
2021-08-22T13:17:01Z,38.4066271,-78.859019,414.9961837,
2021-08-22T13:17:03Z,38.4065044,-78.8591483,414.090822,
2021-08-22T13:17:05Z,38.4063791,-78.8592957,413.1684026,
2021-08-22T13:17:07Z,38.4062441,-78.8594485,411.8315597,
2021-08-22T13:17:09Z,38.4061073,-78.8596012,411.0661091,
2021-08-22T13:17:11Z,38.4059656,-78.8597556,410.0034011,
2021-08-22T13:17:13Z,38.4058213,-78.859904,409.2127389,
2021-08-22T13:17:15Z,38.4056775,-78.860058,408.6222029,
2021-08-22T13:17:17Z,38.4055348,-78.860211,408.0257747,
2021-08-22T13:17:19Z,38.4054004,-78.8603615,407.6397973,
2021-08-22T13:17:21Z,38.4052662,-78.8605045,406.9171405,
2021-08-22T13:17:23Z,38.4051222,-78.8606579,406.2445792,
2021-08-22T13:17:25Z,38.4049949,-78.8608227,405.8129633,
